number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
73,-70.4557203,2026-07-21 10:33:20.037127,2026-07-21 10:33:54.852270,0 days 00:00:34.815143,128,0.1,0.0020236057306849907,0.95,0.0018877019948901701,0.3,10,2048,0.00015119330211778198,1.0,,,,,,,PRUNED
74,-176.1878264,2026-07-21 10:33:21.011663,2026-07-21 10:33:55.921552,0 days 00:00:34.909889,128,0.1,5.3171951782229266e-05,0.98,0.001961743224427854,0.3,10,2048,0.00015171814607769463,1.0,,,,,,,PRUNED
75,-140.45398429999997,2026-07-21 10:33:29.122494,2026-07-21 10:34:08.590960,0 days 00:00:39.468466,128,0.1,7.826071566475818e-05,0.98,0.0008632934220672121,0.3,10,1024,0.00024188858889892507,1.0,,,,,,,PRUNED
76,144.16146507500002,2026-07-21 10:33:33.270212,2026-07-21 10:36:39.955772,0 days 00:03:06.685560,128,0.1,4.6006238959828494e-05,0.98,0.0009507304789336383,0.3,20,1024,0.00032908443327017044,1.0,186.59589496298577,0.9996709155667298,2.0,143.25533210000003,0.9061329749999913,"[143.25533210000003, 145.06759805000002]",COMPLETE
77,21.473754200000002,2026-07-21 10:33:54.213074,2026-07-21 10:34:35.979075,0 days 00:00:41.766001,128,0.1,6.395275965701119e-05,0.98,0.0008929342354938282,0.3,20,1024,0.0002969972594615579,1.0,,,,,,,PRUNED
78,224.1166536,2026-07-21 10:33:54.865807,2026-07-21 10:37:10.405445,0 days 00:03:15.539638,128,0.1,5.188201607359182e-05,0.98,0.0009168541685484063,0.3,20,1024,0.00023325086474591916,1.0,195.4705504309968,0.9997667491352541,2.0,193.78125625,30.335397349999994,"[193.78125625, 254.45205095]",COMPLETE
79,-143.61027729999998,2026-07-21 10:33:55.933077,2026-07-21 10:34:39.960918,0 days 00:00:44.027841,128,0.1,0.0005213371899712207,0.98,0.0008898211475725537,1.0,20,1024,0.000282485656220241,1.0,,,,,,,PRUNED
80,-70.4853291,2026-07-21 10:33:57.324497,2026-07-21 10:34:55.541788,0 days 00:00:58.217291,128,0.3,0.00036790329983538443,0.95,0.0005428168861709591,1.0,20,2048,0.0002479343147260244,1.0,,,,,,,PRUNED
81,-21.1568224,2026-07-21 10:34:08.604133,2026-07-21 10:34:55.575155,0 days 00:00:46.971022,128,0.3,0.0005318774962857504,0.95,0.0009160430886539829,1.0,20,2048,0.00029753474484151313,1.0,,,,,,,PRUNED
82,-53.19983560000001,2026-07-21 10:34:23.379918,2026-07-21 10:36:03.765713,0 days 00:01:40.385795,64,0.3,0.00041558308149169953,0.95,0.0016278855518567473,1.0,20,2048,0.00029689515042473575,1.0,,,,,,,PRUNED
83,20.9242342,2026-07-21 10:34:33.669788,2026-07-21 10:35:12.828455,0 days 00:00:39.158667,64,0.3,0.00043563805932165053,0.95,0.0009284751257741187,0.3,5,2048,0.00033352358802090016,1.0,,,,,,,PRUNED
84,-4.115740700000004,2026-07-21 10:34:35.991110,2026-07-21 10:35:14.552901,0 days 00:00:38.561791,64,0.3,0.019915115355367576,0.95,0.0016641869272547912,0.3,5,2048,0.00012517214475889728,1.0,,,,,,,PRUNED
